object_group,item_name
Улицы Чебоксар,1-ая Привосточная
Улицы Чебоксар,1-ая Путепроводная
Улицы Чебоксар,1-ая Южная
Улицы Чебоксар,2-я Заречная
Улицы Чебоксар,2-я Ключевая
Улицы Чебоксар,2-я Нижняя
Улицы Чебоксар,2-я Овражная
Улицы Чебоксар,2-я Пионерская
Улицы Чебоксар,2-я Привосточная
Улицы Чебоксар,2-я Путепроводная
Улицы Чебоксар,2-я Усадская
Улицы Чебоксар,2-я Южная
Улицы Чебоксар,3-я Южная
Улицы Чебоксар,4-я Южная
Улицы Чебоксар,5-я Южная
Улицы Чебоксар,7-я Южная
Улицы Чебоксар,8-я Южная
Улицы Чебоксар,9-я Южная
Улицы Чебоксар,Абашевская
Улицы Чебоксар,Автономная
Улицы Чебоксар,Альгешевская
Улицы Чебоксар,Аникеевская
Улицы Чебоксар,Базарная
Улицы Чебоксар,Барбарисовая
Улицы Чебоксар,Бассейная
Улицы Чебоксар,Береговая
Улицы Чебоксар,Березовая
Улицы Чебоксар,Брусничная
Улицы Чебоксар,Васильковая
Улицы Чебоксар,Вачалкассинская
Улицы Чебоксар,Вербная
Улицы Чебоксар,Вишневая
Улицы Чебоксар,Водопроводная
Улицы Чебоксар,Волжская
Улицы Чебоксар,Волшебная
Улицы Чебоксар,Восточная
Улицы Чебоксар,Гражданская
Улицы Чебоксар,Гремячевская
Улицы Чебоксар,Декоративная
Улицы Чебоксар,Дубравная
Улицы Чебоксар,Еловая
Улицы Чебоксар,Жемчужная
Улицы Чебоксар,Женьшеневая
Улицы Чебоксар,Заводская
Улицы Чебоксар,Заволжская
Улицы Чебоксар,Заовражная
Улицы Чебоксар,Запрудная
Улицы Чебоксар,Заречная
Улицы Чебоксар,Зеленая
Улицы Чебоксар,Земляничная
Улицы Чебоксар,Ивовая
Улицы Чебоксар,Изумрудная
Улицы Чебоксар,Инкубаторная
Улицы Чебоксар,Интернациональная
Улицы Чебоксар,Казанская
Улицы Чебоксар,Кленовая
Улицы Чебоксар,Клубная
Улицы Чебоксар,Ключевая
