id,Тематика обращения,Дата создания,Категория,Муниципалитет ,Текст обращения
3385,Пропали урны около подъездов,2021-10-02 22:03:47,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,"Летом во дворе дома Филиппа Лукина 6 проводились работы по замене асфальтного покрытия, на время работ урны убрали. Почему до сих пор их не монтируют обратно?
Создание ссылки"
3383,Мусор разбросан по всему лесу (агитационные листовки Салаевой А. Л. ,2021-10-01 19:20:12,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,"После выборов в лесу за Кадетском сквером лежат агитационные листовки относительно Салаевой А. Л. Весь лес усыпан ими, как грибы. "
3382,Опасный перекрёсток для пешеходов и водителей ,2021-10-01 13:58:08,Дороги,Администрация города Чебоксары Чувашской Республики,"Опасный перекрёсток Академика Крылова / Пирогова. Светофоры несколько лет не работают, только установлены знаки пешеходный переход, в настоящее время из-за ремонта дороги даже нет разметки. Для пешеходов опасно переходить дорогу особенно когда темно, поскольку из-за активного нерегулиремого движения внимание расфокусируется. Ни один раз наблюдала, в том числе, когда сама переходила дорогу, как людям, в том числе с маленькими детьми, приходится махать руками вовремя перехода улицы, чтобы избежать дтп! Страшно. 
Для водителей- чтобы выехать на 30-ю дорогу с домов академика Крылова, приходится разворачиваться на Радужном, а чтобы попасть домой- развернуться там же, приехать вниз на кольцо и снова подниматься наверх. При этом не все соблюдают правила, возникает опасность для всех участников дорожного движения. Маршрут распространённый, в окрестностях много жилых домов, бассейн ЧГПУ, детский сад, больница. Считаю, важно, чтобы люди чувствовали безопасность  при переходе улицы в предназначенных местах! "
3381,Сомнительный автомобиль в жилой зоне,2021-10-01 13:22:48,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,"Долгое время в жилой зоне, а именно на ул. Маркова 16/15, возле здания Пятёрочки(сверху парковка) стоит сломанный заброшенный автомобиль в ужасном состоянии. Видно, что поджигался. Иногда в нем сидят сомнительные люди. Особенно жутко проходить мимо в темное время суток. Также очень портит облик района. Рядом жилые дома и детская площадка, напротив через залив дом Правительства. Также дополнительно могу предоставить видео. Пожалуйста, примите меры!"
3380,321 маршрут для кого? ,2021-09-29 11:25:52,Благоустройство и инфраструктура,Министерство транспорта и дорожного хозяйства Чувашской Республики,"Водитель маршрута не остановил на остановке Чиршкасы на трассе, был случай, не остановил на остановке Чиганары, когда нужно было добраться в Чиршкасы. Это маршрут только для выезжающих из Чебоксары и Януша? Тогда на чем должны добираться жители Чиганары, которые отводят детей в до школьную группу в Чиршкасы, выезжают из д. Чиршкасы трассы в другие населённые пункты района? "
3379,Нет ни одной скамейки,2021-09-29 08:56:20,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,"Здравствуйте, в этом году по улице 50 Лет Октября вдоль всей улицы установили фонари уличного освещения: светодиодные, яркие всё по высшему разряду, ОГРОМНОЕ спасибо Администрации города! Дело в том, что по улице 50 Лет Октября нет ни одной скамейки, раньше скамейки были возле Развлекательного Центра МегаГелакси, но после того как администрация данного заведения видела что там собираются много мам с колясками решила ""прикрыть лавочки"", оградили все забором, сняли скамейки и вывесили объявление что это частная территория и нечего сюда соваться - тут везде камеры! Прошу установить скамейки вдоль улицы 50 Лет Октября, спасибо"
3378,Грязь на тротуаре из-за автомобилей,2021-09-29 08:27:53,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,"Здравствуйте,  на тротуаре перед входом в детский садик №73 (Полянка), по адресу Космонавта Николаева 35 а (вход со стороны дома Космонавта Николаева 39), бывает много грязи, потому что некоторые индивидуумы умудряются разворачиваться на автомобилях. Прошу установить высокие бордюры, разделяющие грязь и асфальт, чтобы не хватало наглости тут разворачиваться"
3377,открытая яма,2021-09-28 09:54:05,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,открытая яма в Парке победы рядом  с часовней . сняли крышку слива .
3376,Грязь на тратуаре.,2021-09-27 23:17:50,Дороги,Администрация города Чебоксары Чувашской Республики,"Тратуар весь в грязи.Пройти невозможно, тем более с коляской."
3375,Провал асфальта,2021-09-25 09:27:25,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,Ул.афанасьева д.13 возле 1 подъезда произошёл провал асфальта после земляных работ.так же оба заезда к дому все в ямах и выбоинах.примите меры к исправлению ситуации.
