Адрес обращения,Дом,Дата,текст обращения,street
улица Советская,50А,2021-06-05 22:08:11.225,Тротуар возле рощи,пандус
улица Кукшумская,9,2021-06-11 20:56:03.802,прошу асфальтировать тротуар по улице Кукшумской до ЧЭМК,асфальтовая дорожка
улица Кукшумская,9,2021-06-11 21:00:13.376,прошу асфальтировать тротуар по улице Кукшумской до ЧЭМК,асфальтовая дорожка
улица Социалистическая,19,2021-06-12 13:08:16.467,"Бегают тараканы по всему подъезду, необходимо вызывать службу дезинсекции.
Течет крыша, нужен кап.ремонт крыши - давно не делали, жэк не реагирует на просьбы жителей",освещение
улица Ахазова,7,2021-06-15 17:10:23.232,"Мы жильцы дома №7 живем с 1978 и капитального ремонта ни разу не было. Прошу вас посодействовать, чтобы наш дом включили в программу капитального ремонта не 2030-2035, как можно раньше.
Наш двор 40 лет назад не был рассчитан на такое количество автомобилей, зимой они заезжают на тротуар, мешают чистить снег. Хотелось бы что бы помогли как не будь решить эту проблему",асфальтовая дорожка
улица Кадыкова,18 корп. 1,2021-06-05 17:12:17.676,Нужны дополнительные парковочные места..,парк
улица Ольдеевская,74,2021-06-12 22:02:42.455,Нужна нам всем жителям деревни Дорога!!,аллея
проспект Ленина,25,2021-06-07 18:55:59.315,Навести порядок и обустроить место для ТБО.,освещение
проспект Мира,ё,2021-06-09 09:54:16.566,сделать дорогу,пандус
переулок Ягодный,7,2021-06-07 22:23:15.328,"поменять в доме провода, щиток опасный.нужен кап.ремонт",брусчатка
бульвар Гидростроителей,4,2021-06-14 17:28:44.314,"Большая комиссия при оплате КУ на почте, приходили проверять вентиляцию, через 10 мин озвучили сумму 5000, не выполнив работу(мошенники) ",освещение
улица Винокурова,71,2021-06-08 21:04:29.372,Поменять бордюры. Скамейки поставили под окнами. Скамейки поставить с одной стороны. Скамейки поставить подальше от домов ,освещение
улица Эльгера,17,2021-06-07 11:38:43.309,Социальная помощь инвалидам. ,общественный туалет
улица П.В.Дементьева,22,2021-06-09 11:28:13.169,"спорт площадки, мало деревьев",спортивная площадка
улица 50 лет Октября,14,2021-06-07 19:28:35.630,"Благоустройство территории 
Ремонт дорог",освещение
бульвар Эгерский,25,2021-06-11 23:14:46.048,Благоустройство дет. площадки.,детский городок
проспект Мира,38,2021-06-06 19:14:43.767,"Благоустройство детской площадки
",детский городок
улица Чернышевского,27,2021-06-07 23:31:02.995,"Мало школ, банкоматов",пандус
проспект Мира,23Б,2021-06-09 09:37:56.505,"контроль цен жкх
в магазине",лавочка
улица 10 Пятилетки,46,2021-06-09 23:30:17.596,Благоустройство 10-й Пятилетки,освещение
улица Бичурина,8,2021-06-05 22:00:32.650,Нужны скамейки. Ремонт дороги.,игровая площадка
улица Ахазова,3,2021-06-06 21:59:56.529,"Благоустроить дворовую территорию ( детскую площадку), дорога. ",детский городок
улица Советская,12,2021-06-08 14:46:47.742,Отремонтировать дорогу перед домом,освещение
улица Комсомольская,12,2021-06-14 18:47:08.284,"Ремонт дороги, обустройство детской площадки",детский городок
улица Энтузиастов,15,2021-07-06 12:28:52.116,"Чтобы больше обращали внимание на престарелых пенсионеров и помогали отремонтировать их квартиры.
",освещение
улица Энтузиастов,15,2021-06-10 15:43:40.599,"больше внимания пенсионерам, и помогали отремонтировать их квартиры",освещение
проспект Ленина,56,2021-06-13 16:45:48.905,"хочу астелить окно , тк лицевая сторона. уже был раговор.

сделать тратуар",лавочка
бульвар Юго-Западный,10,2021-06-07 12:45:39.095,"Ухоженные площадки, хорошие дороги, летом - благоустроенные дворы, зимой - каток или хоккейная площадка для детей",спортивная площадка
"улица д. Чандрово, ул. Чандровская",102,2021-06-11 00:12:50.218,"Отремонтировать клуб, сделать нормальную асфальтированную дорогу и тротуар, поставить аптечный пункт",асфальтовая дорожка
переулок Молодежный,3,2021-06-07 01:48:54.250,"Асфальтированный тротуар от 1-9 дома 
Детская площадка
Разводка воды",асфальтовая дорожка
улица Комсомольская,22,2021-06-14 19:12:21.123,Посадить кустарники,зелёные насаждения
проспект Мира,23,2021-06-09 00:03:55.087,хорошие з/п и пенсию,лавочка
проспект Мира,23,2021-06-08 23:49:28.893,"ремонт подьездов, дорог",пандус
улица Советская,73,2021-06-11 23:37:56.532,"Навести порядок со стороны Советской 77 (стоматология). Всегда грязно, нет тротуаров! Нет дороги к остановке.",общественный туалет
улица Эльгера,16,2021-06-06 16:31:57.560,Ремонт  подъезда по улице Эльгера дом 16.,аллея
улица Коммунистическая,24,2021-06-09 12:25:54.874,"Прошу принять меры в отношении жильцов нашего дома, т.к. выбрасывают мусор прямо из окон квартир верхних этажей. Вокруг дома полное антисанитария, просим принят меры за бездействие к УК. В зимнее время гололед, сосульки не огораживают, уборка подъезда очень редко.",зелёные насаждения
улица Яноушека,1,2021-06-05 21:55:56.499,дет.площадку,детский городок
улица П.В.Дементьева,18 корп. 3,2021-06-08 09:38:54.429,"парк, заменить покрытие дет.площадки, увеличить парковку",парк
улица Ленинского Комсомола,24 корп. 2,2021-06-14 13:27:00.829,"Срубить старые деревья!
Чтобы парковка была не рядом с детской площадкой!
Установить видеонаблюдение!",освещение
улица Энгельса,1 корп. 2,2021-06-09 11:40:44.105,сделать ремонт дорог вокруг домов 1к1 1к2 1к3 по энгельса,пандус
проспект Тракторостроителей,45,2021-06-10 03:44:26.715,Парковка,парк
проспект Мира,90,2021-06-09 11:01:14.871,"Поменять на этажах балконные двери, поставить пластиковые окна,домофон.",пандус
улица Шумилова,12 корп. 1,2021-06-13 00:39:30.588,"Благоустроить детскую площадку, дополнить детскими качелями, тренажёрами.",спортивная площадка
улица Чернышевского,6,2021-06-11 12:23:52.565,"Починить тротуар во дворе, сделать тротуар, жэк не реагирует, нужно поменять окна в подъезде.
Не убирают падающее дерево во дворе, ждут пока оно упадет на машину.
Вертикаль не реагирует на заявку
Отремонтировать дорогу в сторону кладбища, вдоль завода, невозможно проехать",пандус
проспект 9-й Пятилетки,30,2021-06-12 08:53:03.268,Перенос проезжей части ближе к соседнему дому,пандус
улица Терешковой,6,2021-06-10 15:08:39.304,-,освещение
улица Терешковой,17,2021-06-12 09:03:42.449,Просим установить лежачий полицейский и детскую площадку,общественный туалет
улица Космонавта Николаева А.Г.,48,2021-06-07 12:43:51.041,"Благоустройство территории
Детская площадка",детский городок
улица 50 лет Октября,4,2021-06-08 12:06:02.402,"Ремонт подъезда
Ремонт дорог",пандус
улица К.Либкнехта,13,2021-06-06 22:17:35.859,Проложить асфальтовую дорогу. Навести порядок на контейнерной площадке.,асфальтовая дорожка
улица Эльгера,26,2021-06-12 17:08:05.862,Поменять коммуникационный стояк. ,пандус
улица И.П.Прокопьева,16,2021-06-09 00:05:19.579,Жалоб нет,пандус
улица 1-ая Путепроводная,245,2021-06-09 00:46:51.865,"Просьба помощи в оформлении земельных участков. Деньги юристам уплачены, но администрация не дает добро",аллея
улица Гагарина Ю.,30,2021-06-08 15:33:03.381,"Ремонт тротуара
Ремонт крыльца",аллея
улица Терешковой,12,2021-06-10 12:57:36.461,"Дезинфекция тараканов, клопов, ремонт подъездов",освещение
улица Солнечная,26,2021-06-05 15:49:29.672,"Уменьшить пенсионный возраст, увеличить размер минимальной зарплаты",пандус
бульвар Гидростроителей,2,2021-06-14 14:38:17.807,"Сделать дорогу, ремонт лифтов и подъездов",пандус
улица Текстильщиков,12,2021-06-06 20:28:39.508,Капитальный ремонт в подъезде,пандус
улица Чернышевского,26,2021-06-07 19:53:57.806,Сделать ремонт придомовой дороги по ул. Чернышевского 26,аллея
улица Коммунистическая,26,2021-06-10 14:42:07.505,МАФ,лавочка
улица 50 лет Октября,17,2021-06-09 20:05:25.168,-,освещение
улица Николая Гастелло,9,2021-06-08 16:03:09.291,Обновить детскую площадку,детский городок
улица Богдана Хмельницкого,37,2021-06-17 13:05:34.529,Установить детскую площадку,детский городок
проспект Мира,36,2021-06-06 19:02:22.911,"Парковка
Ремонт в подъезде
Асфальтирование дороги ",парк
улица Коммунистическая,22,2021-06-07 18:50:35.162,"Отремонтировать двор до конца.
Засеять газонную траву.
Ликвидировать парковку",зелёные насаждения
улица Эльгера,14,2021-06-08 21:39:38.509,Обновить детскую площадку ,детский городок
проспект Мира,23,2021-06-09 11:31:53.824,не приходят газеты Про город больше месяца,освещение
проспект Тракторостроителей,54,2021-06-06 16:33:17.513,Засыпать торфом вдоль отремонтированных дорожек у домов 54 и 52,аллея
улица Парижской Коммуны,2,2021-06-06 01:20:15.458,дет.площадка для дете постарше,детский городок
бульвар Зеленый,10,2021-06-12 09:27:11.961,Обновить детскую площадку во дворе,детский городок
"улица д. Чандрово, ул. Чандровская",71,2021-06-10 22:45:02.219,"Отремонтировать клуб, проложить асфальт по всей дороге и тротуар, аптечный павильон, провести интернет",асфальтовая дорожка
улица Университетская,28,2021-06-08 21:09:51.156,Нужна детская площадка. ,детский городок
улица Привосточная,23,2021-06-09 22:46:48.000,-,освещение
улица Константина Иванова,79/16,2021-06-07 16:09:37.771,сделать ремонт в подъезде в доме давно никто не убирает,пандус
улица Космонавта Николаева А.Г.,30 корп. 1,2021-06-14 00:16:31.328,Нужна детская площадка,детский городок
улица Космонавта Николаева А.Г.,46 корп. 1,2021-06-07 13:38:07.310,Ремонт дорог во дворе,пандус
улица Эльгера,26,2021-06-08 22:15:06.376,Здоровья нашему кандидату и долгих лет жизни,пандус
улица Декабристов,16,2021-06-05 19:42:59.922,Ремонт дорог во дворе,пандус
улица Красина,10,2021-06-05 11:46:03.069,Благоустройство двора по адресу ул. Красина 10. В стоках с крыши привести порядок возле 2 и 3 подъездов.,освещение
проспект 9-й Пятилетки,24,2021-06-13 01:11:50.541,"Деревья, которые сильно сгибаются, есть вероятность, что при сильном ветре могу упасть на людей. Хотим, чтобы их срезали.",аллея
проспект 9-й Пятилетки,24,2021-06-13 01:16:37.128,"Дороги чтобы были без ям во дворах, очень давно не было ремонта. В нашем доме доме был в 2020 году ремонт, откосы не сделаны. По периметру дома хотим, чтобы поставили ограждения, чтобы машины не заезжали.",пандус
улица К.Либкнехта,46,2021-06-06 22:22:54.864,Построить дорогу по улице Либкнехта.,аллея
улица Терешковой,14,2021-06-10 14:38:51.129,"Обработка подвала, очистит вытяжки от голубиных гнезд. Ремонт подъезда. Почему отменили остановку у ""Кристалла""? ",аллея
улица Лебедева,1,2021-06-12 16:19:15.339,Обустроить детскую площадку по адресу улица Лебедева дом 1.,детский городок
улица Винокурова,71,2021-06-08 20:53:04.416,Сделать бордюры. Отдельно сделать выгул для собак. Сделать спортивные тренажеры.,спортивная площадка
бульвар Эгерский,16 корп. 1,2021-06-06 21:48:02.034,Принять меры по поводу почернения овощей на дачах,навигация
улица Эльгера,16,2021-06-14 14:37:10.699,"Ремонт подъезда, стоянка с торца, дорога спуск от 16 дома до шк. 39",пандус
улица Чапаева,5,2021-06-08 20:30:53.038,"Хочу чтоб поставили новую детскую площадку между Чапаева д 5 и Чапаева д 5к1,детям негде играть.",детский городок
улица Хевешская,9,2021-06-08 18:46:57.747,вдоль гаражей отремонтировать дорогу,пандус
бульвар А.Миттова,41,2021-06-12 10:11:26.678,Сделать косметический ремонт в подъезде и заменить лифты (в ужасном состоянии),пандус
улица Коммунистическая,24,2021-06-09 11:59:39.702,-,освещение
улица Ахазова,6,2021-06-12 16:24:59.881,"Ремонт труб, заменить на новые. Площадка для детей. Парковка. Вырубить деревья. ",парк
бульвар Речной,3 корп. 1,2021-06-09 07:04:53.483,"Я предлагаю сделать тротуарную дорожку от Речного бульвара до набережной, т.к. дорога после ""Сокола"" заканчивается со стороны Волги и многие люди идут по дороге где ездят машины",пандус
бульвар А.Миттова,25,2021-06-11 11:01:49.485,Прошу установить доп.стоянки для авто около нашего дома,брусчатка
бульвар Зеленый,7,2021-06-05 22:30:06.791,"В дворе нет места для мусорных контейнеров. контейнеру катаются по двору, нет парковочных мест для машин, не везде подстригаются переросшие деревью, некачественно отремонтированная крыша дома, подъезд весь в подтеках, плесени, и квартира тоже. В подьезде постоянно горит свет, плохо моют подьезд",освещение
улица 10 Пятилетки,13,2021-06-12 07:19:02.615,"Облагородить игровую площадку для детей. поставить дополнительные качели, горки.
Установить скамейки возле подъездов",игровая площадка
бульвар Речной,4 корп. 3,2021-06-09 09:32:22.335,"Дороги и пенсия повышения, парковки",парк
бульвар Гидростроителей,2,2021-06-14 15:12:49.946,"Ремонт подъезда и домофона, поставить урну, плитки возле подъезда развалились",плитка
улица Мате Залка,11,2021-06-07 09:12:55.394,Прошу установить площадку для детей по адресу М.Залка 11-178,пандус
проспект Мира,88Б,2021-06-12 17:43:29.150,Благоустройство территории от подземного перехода до нового автовокзала.,пандус
проспект Тракторостроителей,71,2021-06-08 21:21:00.148,"Заняться газонами, ввести штрафы за хождение по ним",спортивная площадка
улица 1-ая Путепроводная,37 корп. А,2021-06-09 02:23:07.866,"Сделать дорогу, провести свет, построить детские площадки",детский городок
проспект Тракторостроителей,5,2021-06-07 00:20:01.278,"Шум возле кафе ""Парковка""",парк
